name,quantity_type,catalog_name,catalog_symbol,rp66_symbol,base_unit,a,b,c,d,
kilopascal seconds/metre,mass per time per area,POSC,kPa.s/m,kPa.s/m,kg/m2.s,0,1000,1,0,
pounds mass/hour square foot,mass per time per area,POSC,lbm/h.ft2,lbm/h.ft2,kg/m2.s,0,0.00135623,1,0,
pounds mass/second square foot,mass per time per area,POSC,lbm/s.ft2,lbm/s.ft2,kg/m2.s,0,4.88243,1,0,
megapascal seconds/metre (megarayl),mass per time per area,POSC,MPa.s/m,MPa.s/m,kg/m2.s,0,1.00E+06,1,0,
milligrams/cubic metre,density,POSC,mg/m3,mg/m3,kg/m3,0,1.00E-06,1,0,
thousand kilograms per cubic metre,density,POSC,Mg/m3,Mg/m3,kg/m3,0,1.00E+06,1,0,
ten thousand kilograms per cubic metre,density,POSC,10Mg/m3,,kg/m3,0,10000,1,0,
API gravity,density,POSC,dAPI,dAPI,kg/m3,141500,0,131.5,1,
grams/cubic centimetre,density,POSC,g/cm3,g/cm3,kg/m3,0,1000,1,0,
grams/cubic decimetre,density,POSC,g/dm3,g/dm3,kg/m3,0,1,1,0,
grams/UK gallon,density,POSC,g/galUK,g/galUK,kg/m3,0,0.219969,1,0,
grams/US gallon,density,POSC,g/galUS,g/galUS,kg/m3,0,0.264172,1,0,
grams/litre,density,POSC,g/L,g/L,kg/m3,0,1,1,0,
grams/cubic metre,density,POSC,g/m3,g/m3,kg/m3,0,0.001,1,0,
gram per millilitre,density,Wikipedia,g/ml,,kg/m3,0,1000,1,0,
grains/100 cubic feet,density,POSC,grain/100ft3,,kg/m3,0,2.29E-05,1,0,
grains/cubic foot,density,POSC,grain/ft3,,kg/m3,0,0.00228835,1,0,
grains/100 cubic feet,density,POSC,grain/ft3(100),,kg/m3,0,2.29E-05,1,0,
grains/US gallon,density,POSC,grain/galUS,,kg/m3,0,0.0171181,1,0,
kilograms/cubic decimetre,density,POSC,kg/dm3,kg/dm3,kg/m3,0,1000,1,0,
kilogram per litre,density,POSC,kg/L,kg/L,kg/m3,0,1000,1,0,
kilograms/cubic metre,density,POSC,kg/m3,kg/m3,kg/m3,0,1,1,0,
pounds mass/1000 UK gallons,density,POSC,lbm/1000galUK,,kg/m3,0,99.7763,1000,0,
pounds mass/1000 US gallons,density,POSC,lbm/1000galUS,,kg/m3,0,119.826,1000,0,
pounds mass per 10 barrel,density,POSC,lbm/10bbl,,kg/m3,0,0.453592,1.58987,0,
pounds mass/barrel,density,POSC,lbm/bbl,lbm/bbl,kg/m3,0,0.453592,0.158987,0,
pounds mass/cubic foot,density,POSC,lbm/ft3,lbm/ft3,kg/m3,0,16.0185,1,0,
pounds mass/UK gallon,density,POSC,lbm/galUK,lbm/galUK,kg/m3,0,99.7763,1,0,
pounds mass/1000 UK gallons,density,POSC,lbm/galUK(1000),,kg/m3,0,99.7763,1000,0,
pounds mass/US gallon,density,POSC,lbm/galUS,lbm/galUS,kg/m3,0,119.826,1,0,
pounds mass/1000 US gallons,density,POSC,lbm/galUS(1000),,kg/m3,0,119.826,1000,0,
pounds mass/cubic inch,density,POSC,lbm/in3,lbm/in3,kg/m3,0,0.453592,1.64E-05,0,
pounds mass/1000 barrels,density,POSC,lbm/Mbbl,,kg/m3,0,0.00285301,1,0,
milligrams/cubic decimetre,density,POSC,mg/dm3,mg/dm3,kg/m3,0,0.001,1,0,
milligrams/US gallon,density,POSC,mg/galUS,mg/galUS,kg/m3,0,0.000264172,1,0,
milligram per litre,density,POSC,mg/L,mg/L,kg/m3,0,0.001,1,0,
ounce (avoirdupois) per cubic foot,density,Wikipedia,oz/ft3,,kg/m3,0,1.00115,1,0,
ounce (avoirdupois) per gallon (imperial),density,Wikipedia,oz/galUK,,kg/m3,0,6.23602,1,0,
ounce (avoirdupois) per gallon (us fluid),density,Wikipedia,oz/galUS,,kg/m3,0,7.48915,1,0,
ounce (avoirdupois) per cubic inch,density,Wikipedia,oz/in3,,kg/m3,0,1729.99,1,0,
slug per cubic foot,length,Wikipedia,slug/ft3,,kg/m3,0,515.379,1,0,
micrograms/cubic centimetre,density,POSC,ug/cm3,ug/cm3,kg/m3,0,0.001,1,0,
grams/centimetre fourth,mass per volume per length,POSC,g/cm4,g/cm4,kg/m4,0,100000,1,0,
kilograms/decimetre fourth,mass per volume per length,POSC,kg/dm4,kg/dm4,kg/m4,0,10000,1,0,
kilogram/metre fourth,mass per volume per length,POSC,kg/m4,kg/m4,kg/m4,0,1,1,0,
pounds mass/foot fourth,mass per volume per length,POSC,lbm/ft4,lbm/ft4,kg/m4,0,16.0185,0.3048,0,
pounds mass/UK gallon foot,mass per volume per length,POSC,lbm/galUK.ft,lbm/galUK.ft,kg/m4,0,99.7763,0.3048,0,
pounds mass/US gallon foot,mass per volume per length,POSC,lbm/galUS.ft,lbm/galUS.ft,kg/m4,0,119.826,0.3048,0,
pascal seconds squared/ cubic metre,,POSC,Pa.s2/m3,Pa.s2/m3,kg/m4,0,1,1,0,
grams/second,mass flow rate,POSC,g/s,g/s,kg/s,0,0.001,1,0,
kilogram per day,mass flow rate,POSC,kg/d,kg/d,kg/s,0,1,86400,0,
kilograms/hour,mass flow rate,POSC,kg/h,kg/h,kg/s,0,1,3600,0,
kilogram per min,mass flow rate,POSC,kg/min,kg/min,kg/s,0,1,60,0,
kilograms/second,mass flow rate,POSC,kg/s,kg/s,kg/s,0,1,1,0,
million pounds mass/year,mass flow rate,POSC,lbm(million)/yr,,kg/s,0,453592,3.16E+07,0,
pound mass per day,mass flow rate,POSC,lbm/d,lbm/d,kg/s,0,0.453592,86400,0,
pounds mass/hour,mass flow rate,POSC,lbm/h,lbm/h,kg/s,0,0.453592,3600,0,
pounds mass/minute,mass flow rate,POSC,lbm/min,lbm/min,kg/s,0,0.453592,60,0,
pounds mass/second,mass flow rate,POSC,lbm/s,lbm/s,kg/s,0,0.453592,1,0,
megagrams/year,mass flow rate,POSC,Mg/a,Mg/a,kg/s,0,1000,3.16E+07,0,
megagrams/day,mass flow rate,POSC,Mg/d,Mg/d,kg/s,0,1000,86400,0,
megagrams/hour,mass flow rate,POSC,Mg/h,Mg/h,kg/s,0,1,3.6,0,
million pounds mass/year,mass flow rate,POSC,Mlbm/yr,,kg/s,0,453592,3.16E+07,0,
tonnes/year,mass flow rate,POSC,t/a,t/a,kg/s,0,1000,3.16E+07,0,
tonnes/day,mass flow rate,POSC,t/d,t/d,kg/s,0,1000,86400,0,
tonnes/hour,mass flow rate,POSC,t/h,t/h,kg/s,0,1000,3600,0,
tonnes per minute,mass flow rate,POSC,t/min,t/min,kg/s,0,1000,60,0,
UK tons/year,mass flow rate,POSC,tonUK/a,tonUK/a,kg/s,0,1016.05,3.16E+07,0,
UK tons/day,mass flow rate,POSC,tonUK/d,tonUK/d,kg/s,0,1016.05,86400,0,
UK tons/hour,mass flow rate,POSC,tonUK/h,tonUK/h,kg/s,0,1016.05,3600,0,
UK tons/minute,mass flow rate,POSC,tonUK/min,tonUK/min,kg/s,0,1016.05,60,0,
US tons/year,mass flow rate,POSC,tonUS/a,tonUS/a,kg/s,0,907.185,3.16E+07,0,
US tons/day,mass flow rate,POSC,tonUS/d,tonUS/d,kg/s,0,907.185,86400,0,
US tons/hour,mass flow rate,POSC,tonUS/h,tonUS/h,kg/s,0,907.185,3600,0,
US tons/minute,mass flow rate,POSC,tonUS/min,tonUS/min,kg/s,0,907.185,60,0,
lumen,luminous flux,POSC,lm,lm,lm,0,1,1,0,
lumen second,quantity of light,POSC,lm.s,lm.s,lm.s,0,1,1,0,
talbot,quantity of light,POSC,talbot,lm.s,lm.s,0,1,1,0,
lumens/watt,luminous efficacy,POSC,lm/W,lm/W,lm/W,0,1,1,0,
footcandles,illuminance,POSC,footcandle,,lx,0,10.7639,1,0,
kilolux,illuminance,POSC,klx,klx,lx,0,1000,1,0,
lumens/square metre,luminous exitance,POSC,lm/m2,lm/m2,lx,0,1,1,0,
lux,illuminance,POSC,lx,lx,lx,0,1,1,0,
footcandle seconds,light exposure,POSC,footcandle.s,,lx.s,0,10.7639,1,0,
lux seconds,light exposure,POSC,lx.s,lx.s,lx.s,0,1,1,0,
chain (gunter's; surveyor's),length,Wikipedia,chain,,m,0,20.1168,1,0,
femtometer,length,POSC,fm,fm,m,0,1.00E-15,1,0,
megameter,length,POSC,Mm,Mm,m,0,0.001,1,0,
millimetres,length,POSC,mm,mm,m,0,0.001,1,0,
parsec,length,Wikipedia,pc,,m,0,3.09E+16,1,0,
quarter,length,Wikipedia,quarter,,m,0,0.2286,1,0,
rod; pole; perch (h),length,Wikipedia,rod,,m,0,5.0292,1,0,
"bohr, atomic unit of length",length,Wikipedia,a0,,m,0,5.29E-11,1,0,
Angstrom,length,POSC,angstrom,,m,0,1.00E-10,1,0,
astronomical unit,length,Wikipedia,au,,m,0,1.50E+11,1,0,
barleycorn (h),length,Wikipedia,barleycorn,,m,0,0.00846,1,0,
barrels/acre,volume per area,POSC,bbl/acre,bbl/acre,m,0,0.158987,4046.88,0,
cable length (international),length,Wikipedia,cable length(Intl),,m,0,185.2,1,0,
cable length (imperial),length,Wikipedia,cable lengthUK,,m,0,185.318,1,0,
cable length (us),length,Wikipedia,cable lengthUS,,m,0,219.456,1,0,
Benoit chain (1895 A),length,POSC,chBnA,,m,0,20.1168,1,0,
Benoit chain (1895 B),length,POSC,chBnB,,m,0,792,39.3701,0,
Clarke chain,length,POSC,chCla,,m,0,20.1166,1,0,
Sears chain,length,POSC,chSe,,m,0,792,39.3701,0,
US Survey chain,length,POSC,chUS,,m,0,792,39.37,0,
centimetre,length,POSC,cm,cm,m,0,0.01,1,0,
cubit (h),length,Wikipedia,cubit,,m,0,0.5,1,0,
decimetre,length,POSC,dm,dm,m,0,0.1,1,0,
ell (h),length,Wikipedia,ell,,m,0,1.143,1,0,
fathoms,depth,POSC,fathom,,m,0,1.8288,1,0,
finger,length,Wikipedia,finger,,m,0,0.022225,1,0,
finger (cloth),length,Wikipedia,finger (cloth),,m,0,0.1143,1,0,
foot,length,POSC,ft,ft,m,0,0.3048,1,0,
British Foot (Benoit 1895 A),length,POSC,ftBnA,,m,0,0.914399,3,0,
British Foot (Benoit 1895 B),length,POSC,ftBnB,,m,0,12,39.3701,0,
British Foot 1865,length,POSC,ftBr(65),,m,0,0.914403,3,0,
Imperial Foot,length,POSC,ftCla,ftCla,m,0,0.304797,1,0,
Gold Coast Foot,length,POSC,ftGC,,m,0,6.38E+06,2.09E+07,0,
Indian Foot,length,POSC,ftInd,,m,0,12,39.3701,0,
"Indian Foot, 1937",length,POSC,ftInd(37),,m,0,0.304798,1,0,
"Indian Foot, 1962",length,POSC,ftInd(62),,m,0,0.3048,1,0,
"Indian Foot, 1975",length,POSC,ftInd(75),,m,0,0.3048,1,0,
Modified American Foot,length,POSC,ftMA,ftAM,m,0,0.304812,1,0,
Sears Foot,length,POSC,ftSe,,m,0,12,39.3701,0,
US Survey Foot,length,POSC,ftUS,ftUS,m,0,12,39.37,0,
furlong,length,Wikipedia,fur,,m,0,201.168,1,0,
hand,length,Wikipedia,hand,,m,0,0.1016,1,0,
inch,length,POSC,in,in,m,0,0.0254,1,0,
tenth of an inch,length,POSC,in/10,,m,0,0.00254,1,0,
16th of an inch,length,POSC,in/16,1/16 in,m,0,0.0015875,1,0,
32nd of an inch,length,POSC,in/32,1/32 in,m,0,0.00079375,1,0,
64th of an inch,length,POSC,in/64,1/64 in,m,0,0.000396875,1,0,
US Survey inch,length,POSC,inUS,inUS,m,0,1,39.37,0,
kilometre,length,POSC,km,km,m,0,1000,1,0,
league (land),length,Wikipedia,lea,,m,0,4828,1,0,
light-day,length,Wikipedia,light-day,,m,0,2.59E+13,1,0,
light-hour,length,Wikipedia,light-hour,,m,0,1.08E+12,1,0,
light-minute,length,Wikipedia,light-minute,,m,0,17987500000,1,0,
light-second,length,Wikipedia,light-second,,m,0,299792000,1,0,
link (gunter's; surveyor's),length,Wikipedia,link (gunter),,m,0,0.201168,1,0,
link (ramsden's; engineer's),length,Wikipedia,link (ramsden),,m,0,0.3048,1,0,
British link 1895 A,length,POSC,lkBnA,,m,0,0.201168,1,0,
British link 1895 B,length,POSC,lkBnB,,m,0,7.92,39.3701,0,
Clarke link,length,POSC,lkCla,,m,0,7.92,39.3704,0,
Sears link,length,POSC,lkSe,,m,0,7.92,39.3701,0,
US Survey link,length,POSC,lkUS,,m,0,7.92,39.37,0,
"foot, metric (long)",length,Wikipedia,lmf,,m,0,0.3,1,0,
line,length,Wikipedia,ln,,m,0,0.002116,1,0,
light-year,length,Wikipedia,ly,,m,0,9.46E+15,1,0,
metre,length,POSC,m,m,m,0,1,1,0,
cubic meter per square meter,volume per area,POSC,m3/m2,m3/m2,m,0,1,1,0,
"foot, metric",length,Wikipedia,mf,,m,0,0.316228,1,0,
German legal metre,length,POSC,mGer,,m,0,1.00001,1,0,
mile,length,POSC,mi,mi,m,0,1609.34,1,0,
mickey,length,Wikipedia,mickey,,m,0,0.000127,1,0,
"mil, a thousandth of an inch",length,POSC,mil,,m,0,2.54E-05,1,0,
mil (sweden and norway),length,Wikipedia,milSWE,,m,0,10000,1,0,
U.S. Survey mile,length,POSC,miUS,miUS,m,0,1609.35,1,0,
nail (cloth),length,Wikipedia,nail (cloth),,m,0,0.05715,1,0,
nautical mile,length,POSC,nautmi,,m,0,1852,1,0,
nautical league,length,Wikipedia,nl; nl,,m,0,5556,1,0,
nanometres,length,POSC,nm,nm,m,0,1.00E-09,1,0,
pace,length,Wikipedia,pace,,m,0,0.762,1,0,
palm,length,Wikipedia,palm,,m,0,0.0762,1,0,
picometer,length,POSC,pm,pm,m,0,1.00E-12,1,0,
rope (h),length,Wikipedia,rope,,m,0,6.096,1,0,
shaku (japan),length,Wikipedia,shaku (japan),,m,0,0.303,1,0,
"foot, metric (short)",length,Wikipedia,smf,,m,0,0.3,1,0,
span (h),length,Wikipedia,span ,,m,0,0.2286,1,0,
spat [14],length,Wikipedia,spat,,m,0,1.00E+12,1,0,
stick (h),length,Wikipedia,stick,,m,0,0.0508,1,0,
twip,length,Wikipedia,twp,,m,0,0.000017638,1,0,
microns,length,POSC,um,um,m,0,1.00E-06,1,0,
x unit; siegbahn,length,Wikipedia,xu,,m,0,1.00E-13,1,0,
yards,length,POSC,yd,,m,0,0.9144,1,0,
Benoits yard (1895 A),length,POSC,ydBnA,,m,0,0.914399,1,0,
Benoits yard (1895 B),length,POSC,ydBnB,,m,0,36,39.3701,0,
Clarkes yard,length,POSC,ydCla,,m,0,0.914392,1,0,
imperial yard,length,POSC,ydIm,,m,0,0.914392,1,0,
Indian yard,length,POSC,ydInd,,m,0,36,39.3701,0,
Indian yard (1937),length,POSC,ydInd(37),,m,0,0.914395,1,0,
Indian yard (1962),length,POSC,ydInd(62),,m,0,0.914399,1,0,
Indian yard (1975),length,POSC,ydInd(75),,m,0,0.914399,1,0,
Sears yard,length,POSC,ydSe,,m,0,36,39.3701,0,
feet/degree Fahrenheit,length per temperature,POSC,ft/degF,ft/degF,m/K,0,0.54864,1,0,
metres/degree kelvin,length per temperature,POSC,m/K,m/K,m/K,0,1,1,0,
centimeter per year,velocity,POSC,cm/a,cm/a,m/s,0,0.01,3.16E+07,0,
centimetre/second,velocity,POSC,cm/s,cm/s,m/s,0,0.01,1,0,
decimeter per second,velocity,POSC,dm/s,dm/s,m/s,0,0.1,1,0,
feet/day,velocity,POSC,ft/d,ft/d,m/s,0,0.3048,86400,0,
feet/hour,velocity,POSC,ft/h,ft/h,m/s,0,0.3048,3600,0,
feet/minute,velocity,POSC,ft/min,ft/min,m/s,0,0.3048,60,0,
foot per millisecond,velocity,POSC,ft/ms,ft/ms,m/s,0,304.8,1,0,
feet/second,velocity,POSC,ft/s,ft/s,m/s,0,0.3048,1,0,
foot per microsecond,velocity,POSC,ft/us,ft/us,m/s,0,304800,1,0,
cubic feet/min square foot,volume per time per area,POSC,ft3/min.ft2,ft3/min.ft2,m/s,0,0.3048,60,0,
cubic feet/second square foot,volume per time per area,POSC,ft3/s.ft2,ft3/s.ft2,m/s,0,0.3048,1,0,
UK gallons/hour square foot,volume per time per area,POSC,galUK/hr.ft2,galUK/h.ft2,m/s,0,1.36E-05,1,0,
UK gallons/hour square inch,volume per time per area,POSC,galUK/hr.in2,galUK/h.in2,m/s,0,0.00195735,1,0,
UK gallons/minute square foot,volume per time per area,POSC,galUK/min.ft2,galUK/min.ft2,m/s,0,0.000815562,1,0,
US gallons/hour square foot,volume per time per area,POSC,galUS/hr.ft2,galUS/h.ft2,m/s,0,1.13E-05,1,0,
US gallons/hour square inch,volume per time per area,POSC,galUS/hr.in2,galUS/h.in2,m/s,0,0.00162983,1,0,
US gallons/minute square foot,volume per time per area,POSC,galUS/min.ft2,galUS/min.ft2,m/s,0,0.000679097,1,0,
inches/year,velocity,POSC,in/a,in/a,m/s,0,0.0254,3.16E+07,0,
inches/minute,velocity,POSC,in/min,in/min,m/s,0,0.0254,60,0,
inches/second,velocity,POSC,in/s,in/s,m/s,0,0.0254,1,0,
thousand feet per hour,velocity,POSC,kft/h,,m/s,0,304.8,3600,0,
thousand feet per second,velocity,POSC,kft/s,,m/s,0,304.8,1,0,
kilometres/hour,velocity,POSC,km/h,km/h,m/s,0,1,3.6,0,
kilometer per second,velocity,POSC,km/s,km/s,m/s,0,1000,1,0,
knots,velocity,POSC,knot,,m/s,0,1852,3600,0,
metres/day,velocity,POSC,m/d,m/d,m/s,0,1,86400,0,
metres/hour,velocity,POSC,m/h,m/h,m/s,0,1,3600,0,
meter per minute,velocity,POSC,m/min,m/min,m/s,0,1,60,0,
metres/millisecond,velocity,POSC,m/ms,m/ms,m/s,0,1000,1,0,
metres/second,velocity,POSC,m/s,m/s,m/s,0,1,1,0,
cubic metres/second square metre,volume per time per area,POSC,m3/s.m2,m3/s.m2,m/s,0,1,1,0,
miles/hour,velocity,POSC,mi/h,mi/h,m/s,0,1609.34,3600,0,
mils/year,velocity,POSC,mil/yr,,m/s,0,2.54E-05,3.16E+07,0,
millimetres/year,velocity,POSC,mm/a,mm/a,m/s,0,0.001,3.16E+07,0,
millimetres/second,velocity,POSC,mm/s,mm/s,m/s,0,0.001,1,0,
nanometer per second,velocity,POSC,nm/s,nm/s,m/s,0,1.00E-09,1,0,
micrometer per second,velocity,POSC,um/s,um/s,m/s,0,1.00E-06,1,0,
centimetre/second squared,acceleration linear,POSC,cm/s2,cm/s2,m/s2,0,0.01,1,0,
feet/second squared,acceleration linear,POSC,ft/s2,ft/s2,m/s2,0,0.3048,1,0,
galileo,acceleration linear,POSC,Gal,,m/s2,0,0.01,1,0,
gravity,acceleration linear,POSC,gn,gn,m/s2,0,9.80665,1,0,
metres/second squared,acceleration linear,POSC,m/s2,m/s2,m/s2,0,1,1,0,
milligalileo,acceleration linear,POSC,mGal,mGal,m/s2,0,1.00E-05,1,0,
milligravity,acceleration linear,POSC,mgn,mgn,m/s2,0,0.00980665,1,0,
barn,area,POSC,b,b,m2,0,1.00E+28,1,0,
board,area,Wikipedia,bd,,m2,0,0.00774192,1,0,
darcy,permeability rock,POSC,D,D,m2,0,9.87E-13,1,0,
acre,area,POSC,acre,acre,m2,0,4046.87,1,0,
are,area,Wikipedia,are,,m2,0,100,1,0,
barony,area,Wikipedia,barony,,m2,0,16187400,1,0,
barrel/foot,volume per length,POSC,bbl/ft,bbl/ft,m2,0,0.158987,0.3048,0,
barrel/inch,volume per length,POSC,bbl/in,bbl/in,m2,0,0.158987,0.0254,0,
barrel/mile,volume per length,POSC,bbl/mi,bbl/mi,m2,0,0.158987,1609.34,0,
boiler horsepower equivalent direct radiation,area,Wikipedia,bhp edr,,m2,0,12.9582,1,0,
cuerda (pr survey),area,Wikipedia,cda,,m2,0,3930.4,1,0,
circular inch,area,Wikipedia,circ in,,m2,0,0.000506708,1,0,
circular mil; circular thou,area,Wikipedia,circ mil,,m2,0,5.07E-10,1,0,
square centimetre,area,POSC,cm2,cm2,m2,0,0.0001,1,0,
cord,area,Wikipedia,cord,,m2,0,1.48645,1,0,
cubic decimetres/100 kilometres,volume per length,POSC,dm3/100km,,m2,0,1.00E-08,1,0,
cubic decimetres/100 kilometres,volume per length,POSC,dm3/km(100),,m2,0,1.00E-08,1,0,
cubic decimetres/metre,volume per length,POSC,dm3/m,dm3/m,m2,0,0.001,1,0,
dunam,area,Wikipedia,dunam,,m2,0,1000,1,0,
square foot,area,POSC,ft2,ft2,m2,0,0.092903,1,0,
cubic feet/foot,volume per length,POSC,ft3/ft,ft3/ft,m2,0,0.092903,1,0,
UK gallons/mile,volume per length,POSC,galUK/mi,galUK/mi,m2,0,0.00454609,1609.34,0,
US gallons/foot,volume per length,POSC,galUS/ft,galUS/ft,m2,0,0.00378541,0.3048,0,
US gallons/mile,volume per length,POSC,galUS/mi,galUS/mi,m2,0,0.00378541,1609.34,0,
guntha,area,Wikipedia,guntha,,m2,0,101.17,1,0,
hectare,area,POSC,ha,ha,m2,0,10000,1,0,
hide,area,Wikipedia,hide,,m2,0,500000,1,0,
square inches,area,POSC,in2,in2|sq in,m2,0,0.00064516,1,0,
cubic inches/foot,volume per length,POSC,in3/ft,in3/ft,m2,0,1.64E-05,0.3048,0,
square kilometres,area,POSC,km2,km2,m2,0,1.00E+06,1,0,
litres/100 kilometres,volume per length,POSC,L/100km,,m2,0,1.00E-09,1,0,
litres/100 kilometres,volume per length,POSC,L/km(100),,m2,0,1.00E-09,1,0,
litres/metre,volume per length,POSC,L/m,L/m,m2,0,0.001,1,0,
square metres,area,POSC,m2,m2,m2,0,1,1,0,
cubic metres/kilometre,volume per length,POSC,m3/km,m3/km,m2,0,0.001,1,0,
cubic metres/metre,volume per length,POSC,m3/m,m3/m,m2,0,1,1,0,
millidarcy,permeability rock,POSC,mD,mD,m2,0,9.87E-16,1,0,
square miles,area,POSC,mi2,mi2,m2,0,2.59E+06,1,0,
U.S. Survey square mile,area,POSC,miUS2,miUS2,m2,0,2.59E+06,1,0,
square millimetres,area,POSC,mm2,mm2,m2,0,1.00E-06,1,0,
rood,area,Wikipedia,ro,,m2,0,1011.71,1,0,
section,area,Wikipedia,section,,m2,0,2589990,1,0,
shed,area,Wikipedia,shed,,m2,0,1.00E-52,1,0,
square chain (international),area,Wikipedia,sq chUK,,m2,0,404.686,1,0,
square chain (us survey),area,Wikipedia,sq chUS,,m2,0,404.687,1,0,
square feet,area,POSC,sq ft,ft2,m2,0,0.092903,1,0,
square inches,area,POSC,sq in,in2,m2,0,0.00064516,1,0,
square link (ramsden's),area,Wikipedia,sq lnkRamsden's,,m2,0,0.092903,1,0,
square link (gunter's)(international),area,Wikipedia,sq lnkUK,,m2,0,0.0404686,1,0,
square link (gunter's)(us survey),area,Wikipedia,sq lnkUS,,m2,0,0.0404687,1,0,
square miles,area,POSC,sq mi,mi2,m2,0,2.59E+06,1,0,
square mil; square thou,area,Wikipedia,sq mil,,m2,0,6.45E-10,1,0,
square rod/pole/perch,area,Wikipedia,sq rd,,m2,0,25.2929,1,0,
square yards,area,POSC,sq yd,yd2,m2,0,0.836127,1,0,
square (roofing),area,Wikipedia,square (roofing),,m2,0,9.2903,1,0,
stremma,area,Wikipedia,stremma,,m2,0,1000,1,0,
township,area,Wikipedia,township,,m2,0,93239900,1,0,
square microns,area,POSC,um2,um2,m2,0,1.00E-12,1,0,
yardland,area,Wikipedia,yardland,,m2,0,120000,1,0,
square yards,area,POSC,yd2,,m2,0,0.836127,1,0,
centimetres squared/gram,mass attenuation coefficient,POSC,cm2/g,cm2/g,m2/kg,0,0.1,1,0,
square metres/gram,mass attenuation coefficient,POSC,m2/g,m2/g,m2/kg,0,1000,1,0,
square metres/kilogram,mass attenuation coefficient,POSC,m2/kg,m2/kg,m2/kg,0,1,1,0,
barns/electron,cross section absorption,POSC,b/elec,,m2/mol,0,6.02E-05,1,0,
square metres/mol,cross section absorption,POSC,m2/mol,m2/mol,m2/mol,0,1,1,0,
barrels/day foot pounds/sq in,unit productivity index,POSC,bbl/d.ft.psi,bbl/d.ft.psi,m2/Pa.s,0,2.67E-10,0.3048,0,
cubic feet/day foot psi,unit productivity index,POSC,ft3/d.ft.psi,ft3/d.ft.psi,m2/Pa.s,0,0.092903,5.96E+09,0,
square metres/day kiloPascal,unit productivity index,POSC,m2/d.kPa,m2/d.kPa,m2/Pa.s,0,1,8.64E+07,0,
square metres/second Pascal,unit productivity index,POSC,m2/Pa.s,m2/Pa.s,m2/Pa.s,0,1,1,0,
millidarcy sq feet/pound force second,mobility,POSC,mD.ft2/lbf.s,mD.ft2/lbf.s,m2/Pa.s,0,9.87E-16,47.8803,0,
millidarcy sq inches/pound force second,mobility,POSC,mD.in2/lbf.s,mD.in2/lbf.s,m2/Pa.s,0,9.87E-16,6894.76,0,
millidarcies/centipoise,mobility,POSC,mD/cP,mD/cP,m2/Pa.s,0,9.87E-16,0.001,0,
millidarcies/Pascal second,mobility,POSC,mD/Pa.s,mD/Pa.s,m2/Pa.s,0,9.87E-16,1,0,
thousand cubic feet per day per foot,volume per time per length,POSC,1000ft3/d.ft,,m2/s,0,92.903,86400,0,
thousand cubic meter per day per meter,volume per time per length,POSC,1000m3/d.m,km3/(d.m),m2/s,0,1000,86400,0,
thousand cubic meters per hour per meter,volume per time per length,POSC,1000m3/h.m,km3/(h.m),m2/s,0,1000,3600,0,
barrels/day foot,volume per time per length,POSC,bbl/d.ft,bbl/d.ft,m2/s,0,0.158987,26334.7,0,
centimetres squared/second,kinematic viscosity,POSC,cm2/s,cm2/s,m2/s,0,0.0001,1,0,
centiStoke,kinematic viscosity,POSC,cSt,,m2/s,0,1.00E-06,1,0,
square feet/hour,kinematic viscosity,POSC,ft2/h,ft2/h,m2/s,0,0.092903,3600,0,
square feet/second,kinematic viscosity,POSC,ft2/s,ft2/s,m2/s,0,0.092903,1,0,
UK gallons/hour foot,volume per time per length,POSC,galUK/hr.ft,galUK/h.ft,m2/s,0,4.14E-06,1,0,
UK gallons/hour inch,volume per time per length,POSC,galUK/hr.in,galUK/h.in,m2/s,0,4.97E-05,1,0,
UK gallons/minute foot,volume per time per length,POSC,galUK/min.ft,galUK/min.ft,m2/s,0,0.000248533,1,0,
US gallons/foot hour,volume per time per length,POSC,galUS/hr.ft,galUS/h.ft,m2/s,0,3.45E-06,1,0,
US gallons/hour inch,volume per time per length,POSC,galUS/hr.in,galUS/h.in,m2/s,0,4.14E-05,1,0,
US gallons/minute foot,volume per time per length,POSC,galUS/min.ft,galUS/min.ft,m2/s,0,0.000206989,1,0,
square inches/second,kinematic viscosity,POSC,in2/s,in2/s,m2/s,0,0.00064516,1,0,
square metres/hour,kinematic viscosity,POSC,m2/h,m2/h,m2/s,0,1,3600,0,
square metres/second,kinematic viscosity,POSC,m2/s,m2/s,m2/s,0,1,1,0,
cubic meter per day per meter,volume per time per length,POSC,m3/d.m,m3/d.m,m2/s,0,1,86400,0,
cubic meter per hour per meter,volume per time per length,POSC,m3/h.m,m3/h.m,m2/s,0,1,3600,0,
cubic meter per second per foot,volume per time per length,POSC,m3/s.ft,m3/s.ft,m2/s,0,1,0.3048,0,
cubic metres/second metre,volume per time per length,POSC,m3/s.m,m3/s.m,m2/s,0,1,1,0,
square millimetres/second,kinematic viscosity,POSC,mm2/s,mm2/s,m2/s,0,1.00E-06,1,0,
cup (metric),volume,Wikipedia,cupMetric,,m3,0,0.00025,1,0,
UK fluid ounce,volume,POSC,fl ozUK,,m3,0,2.84E-05,1,0,
quarter; pail,volume,Wikipedia,quarter3,,m3,0,0.29095,1,0,
thousand cubic feet,volume,POSC,1000ft3,,m3,0,28.3168,1,0,
acre foot,volume,POSC,acre.ft,acre.ft,m3,0,1233.49,1,0,
acre-inch,volume,Wikipedia,acre-inch,,m3,0,102.79,1,0,
